ts_iso,url,status,depth,bytes,domain,superdomain,domain_count_before,super_count_before,page_score,super_score,total_priority,priority_at_pop
2025-10-03T07:18:32Z,https://github.com/topics/stanford-engineering,200,0,166827,github.com,com,0,0,1.000,0.100,1.100,1.100
2025-10-03T07:18:35Z,https://www.githubstatus.com,200,1,128700,githubstatus.com,com,0,1,1.000,0.063,1.063,1.063
2025-10-03T07:18:35Z,https://github.com/login?return_to=https%3A%2F%2Fgithub.com%2Ftopics%2Fstanford-engineering,200,1,44832,github.com,com,1,2,0.631,0.050,0.681,0.694
2025-10-03T07:18:35Z,https://github.blog,200,1,256052,github.blog,blog,0,0,1.000,0.100,1.100,1.100
2025-10-03T07:18:35Z,https://skills.github.com,200,1,13163,github.com,com,2,3,0.500,0.043,0.543,0.694
2025-10-03T07:18:35Z,https://github.com/features/actions,200,1,300965,github.com,com,3,4,0.431,0.039,0.469,0.694
2025-10-03T07:18:35Z,https://github.com/features/spark,200,1,442525,github.com,com,4,5,0.387,0.036,0.422,0.694
2025-10-03T07:18:36Z,https://github.com/features/models,200,1,407476,github.com,com,5,6,0.356,0.033,0.390,0.694
2025-10-03T07:18:36Z,https://github.com/features/issues,200,1,358425,github.com,com,6,7,0.333,0.032,0.365,0.694
2025-10-03T07:18:36Z,https://github.com/security/advanced-security,200,1,323520,github.com,com,7,8,0.315,0.030,0.346,0.694
2025-10-03T07:18:36Z,https://github.com/orgs/community/discussions/,200,1,550663,github.com,com,8,9,0.301,0.029,0.330,1.100
2025-10-03T07:18:36Z,https://github.com/features/codespaces,200,1,351754,github.com,com,9,10,0.289,0.028,0.317,0.694
2025-10-03T07:18:36Z,https://docs.github.com/en,200,1,96764,github.com,com,10,11,0.279,0.027,0.306,0.694
2025-10-03T07:18:36Z,https://github.com/features/code-search,200,1,283759,github.com,com,11,12,0.270,0.026,0.297,0.694
2025-10-03T07:18:36Z,https://github.com,200,1,561093,github.com,com,12,13,0.263,0.026,0.288,0.694
2025-10-03T07:18:36Z,https://github.com/features/code-review,200,1,314840,github.com,com,13,14,0.256,0.025,0.281,0.694
2025-10-03T07:18:36Z,https://github.com/team,200,1,296316,github.com,com,14,15,0.250,0.024,0.274,0.694
2025-10-03T07:18:36Z,https://github.com/features/discussions,200,1,292457,github.com,com,15,16,0.245,0.024,0.269,0.694
2025-10-03T07:18:36Z,https://github.com/mcp,200,1,297474,github.com,com,16,17,0.240,0.024,0.263,0.694
2025-10-03T07:18:36Z,https://github.com/solutions/use-case/app-modernization,200,1,273311,github.com,com,17,18,0.235,0.023,0.259,0.694
2025-10-03T07:18:36Z,https://github.com/solutions/industry/nonprofits,200,1,265045,github.com,com,18,19,0.231,0.023,0.254,0.694
2025-10-03T07:18:36Z,https://github.com/features,200,1,620208,github.com,com,19,20,0.228,0.022,0.250,0.694
2025-10-03T07:18:36Z,https://github.com/solutions/use-case/ci-cd,200,1,265344,github.com,com,20,21,0.224,0.022,0.246,0.694
2025-10-03T07:18:37Z,https://github.com/solutions/use-case/devsecops,200,1,298897,github.com,com,21,22,0.221,0.022,0.243,0.694
2025-10-03T07:18:37Z,https://github.com/features/copilot,200,1,843619,github.com,com,22,23,0.218,0.022,0.240,0.694
2025-10-03T07:18:37Z,https://github.com/why-github,200,1,480548,github.com,com,23,24,0.215,0.021,0.237,0.694
